ID_Venda,Cliente,Produto,Marca,Preco,Quantidade,Data_Venda,Pagamento,Loja
21,Carlos,omega 3,max titanium,193.51,2.0,2025-02-03 18:14:51.944970,Cartão,Não informado
22,Lucas,multivitaminico,integralmedica,229.17,1.0,2024-10-15 18:14:51.944978,Pix,Filial A
23,Camila,whey protein,integralmedica,157.68,2.0,2025-07-18 18:14:51.944987,Não informado,Filial A
24,Rodrigo,whey protein,atlhetica nutrition,62.73,2.0,2025-05-25 18:14:51.944994,Dinheiro,Loja 2
25,Ana,multivitaminico,max titanium,127.49,2.0,2025-04-07 18:14:51.945001,Pix,Filial A
26,Mariana,hipercalorico,integralmedica,179.45,1.0,2025-01-04 18:14:51.945008,Não informado,Loja 1
27,Fernanda,whey protein,growth supplements,-126.95,3.0,2025-08-25 18:14:51.945016,Dinheiro,Não informado
28,Mariana,omega 3,integralmedica,191.27,2.0,32/13/2023,Cartão,Loja 1
29,Juliana,glutamina,integralmedica,88.63,3.0,2025-02-09 18:14:51.945031,Não informado,Não informado
30,Juliana,multivitaminico,max titanium,213.52,3.0,2025-08-30 18:14:51.945038,Cartao,Loja 1
31,Rodrigo,omega 3,bodyaction,201.38,2.0,2025-02-12 18:14:51.945045,Pix,Não informado
32,Bruna,hipercalorico,optimum nutrition,111.18,1.0,2025-01-02 18:14:51.945053,Dinheiro,Loja 1
33,Patrícia,barra proteica,integralmedica,59.44,1.0,2024-10-14 18:14:51.945061,Não informado,Loja 2
34,Fernanda,albumina,probiotica,192.48,2.0,2024-12-11 18:14:51.945069,Cartão,Loja 1
35,Camila,hipercalorico,black skull,216.26,2.0,2025-03-23 18:14:51.945076,Cartao,Loja 1
36,Mariana,bcaa,black skull,222.75,3.0,2025-03-04 18:14:51.945084,Cartao,Não informado
38,Camila,multivitaminico,integralmedica,236.12,3.0,2024-12-12 18:14:51.945098,Cartão,Não informado
39,Rodrigo,pre-treino,optimum nutrition,145.76,2.0,2025-03-15 18:14:51.945105,Cartão,Loja 2
40,Bruna,barra proteica,optimum nutrition,203.36,3.0,2025-09-07 18:14:51.945112,Dinheiro,Filial A
41,Rodrigo,glutamina,probiotica,239.36,2.0,2025-04-11 18:14:51.945119,Cartao,Loja 1
42,Rodrigo,multivitaminico,bodyaction,113.51,2.0,2025-01-07 18:14:51.945126,Não informado,Loja 2
44,Ana,multivitaminico,black skull,97.53,2.0,2025-01-27 18:14:51.945145,Dinheiro,Não informado
45,Fernanda,albumina,integralmedica,82.06,3.0,32/13/2023,Cartao,Loja 2
46,Bruna,bcaa,universal,138.78,3.0,2024-10-24 18:14:51.945182,Não informado,Loja 2
47,João,pre-treino,midway,208.42,2.0,2025-07-19 18:14:51.945190,Não informado,Não informado
48,Patrícia,barra proteica,atlhetica nutrition,153.5,2.0,2025-03-16 18:14:51.945198,Dinheiro,Filial A
49,Paulo,barra proteica,midway,143.72,2.0,2025-04-21 18:14:51.945205,Não informado,Loja 1
50,Gabriela,creatina,growth supplements,67.99,2.0,2025-06-12 18:14:51.945212,Cartão,Filial A
51,Lucas,albumina,optimum nutrition,210.47,2.0,2025-03-01 18:14:51.945219,Não informado,Não informado
52,Mariana,omega 3,black skull,182.77,1.0,2025-07-22 18:14:51.945226,Cartao,Não informado
53,Diego,bcaa,atlhetica nutrition,228.8,3.0,2025-04-09 18:14:51.945234,Pix,Loja 1
54,Mariana,bcaa,integralmedica,89.43,1.0,2025-04-01 18:14:51.945241,Cartao,Loja 1
55,Lucas,barra proteica,black skull,233.19,1.0,2024-11-01 18:14:51.945248,Pix,Filial A
56,Diego,hipercalorico,optimum nutrition,224.41,2.0,32/13/2023,Cartao,Loja 2
57,Camila,multivitaminico,black skull,220.73,3.0,2025-07-24 18:14:51.945262,Pix,Loja 2
58,Diego,glutamina,max titanium,-229.16,1.0,2025-05-28 18:14:51.945270,Pix,Loja 1
60,Ana,bcaa,max titanium,136.59,1.0,2025-03-15 18:14:51.945289,Não informado,Loja 2
61,Diego,pre-treino,integralmedica,222.18,1.0,2025-07-01 18:14:51.945300,Pix,Loja 2
62,Camila,omega 3,max titanium,114.28,3.0,2024-11-26 18:14:51.945312,Pix,Loja 2
63,Bruna,glutamina,bodyaction,106.29,2.0,2025-01-20 18:14:51.945324,Cartão,Não informado
64,Carlos,multivitaminico,max titanium,189.62,3.0,2025-04-19 18:14:51.945336,Cartao,Filial A
65,Diego,glutamina,probiotica,131.95,2.0,2025-02-04 18:14:51.945344,Cartao,Não informado
66,Mariana,bcaa,growth supplements,224.05,2.0,2024-10-26 18:14:51.945352,Dinheiro,Loja 2
68,Bruna,bcaa,atlhetica nutrition,145.34,2.0,2025-06-11 18:14:51.945367,Cartão,Filial A
69,Gabriela,bcaa,midway,106.38,2.0,2025-03-24 18:14:51.945374,Cartao,Loja 1
70,Ana,multivitaminico,atlhetica nutrition,176.77,3.0,2024-12-19 18:14:51.945381,Pix,Loja 2
71,Camila,bcaa,midway,97.4,2.0,2025-09-20 18:14:51.945388,Cartão,Não informado
72,Juliana,bcaa,optimum nutrition,195.57,2.0,2025-05-11 18:14:51.945395,Pix,Loja 1
74,Patrícia,whey protein,bodyaction,-213.72,2.0,32/13/2023,Cartao,Loja 1
75,Rafael,multivitaminico,optimum nutrition,201.69,3.0,2025-06-20 18:14:51.945417,Cartao,Filial A
76,Mariana,barra proteica,max titanium,78.35,1.0,2024-11-12 18:14:51.945425,Pix,Não informado
77,Mariana,albumina,black skull,152.34,2.0,2025-08-28 18:14:51.945432,Dinheiro,Loja 2
78,Carlos,omega 3,max titanium,132.53,1.0,2025-01-04 18:14:51.945439,Cartao,Loja 2
79,Fernanda,creatina,max titanium,61.3,2.0,2024-11-04 18:14:51.945446,Dinheiro,Não informado
80,Ana,whey protein,integralmedica,127.51,3.0,32/13/2023,Cartao,Loja 1
81,Ana,pre-treino,midway,226.33,2.0,2025-06-13 18:14:51.945461,Cartão,Filial A
82,Patrícia,omega 3,probiotica,229.59,2.0,2025-09-15 18:14:51.945468,Não informado,Não informado
83,João,bcaa,max titanium,164.04,2.0,2024-11-30 18:14:51.945475,Pix,Não informado
85,Camila,multivitaminico,probiotica,56.24,2.0,2025-05-12 18:14:51.945494,Pix,Não informado
86,Bruna,barra proteica,atlhetica nutrition,225.29,1.0,2025-04-30 18:14:51.945507,Cartão,Filial A
87,Mariana,glutamina,probiotica,208.55,2.0,2025-09-22 18:14:51.945519,Dinheiro,Não informado
88,Rodrigo,barra proteica,growth supplements,80.66,1.0,2025-09-10 18:14:51.945531,Cartao,Não informado
89,Mariana,whey protein,max titanium,193.77,3.0,2025-06-25 18:14:51.945538,Cartao,Loja 1
90,Gabriela,whey protein,universal,193.11,1.0,2024-11-27 18:14:51.945545,Cartao,Loja 2
91,Rafael,albumina,atlhetica nutrition,130.36,3.0,2025-07-16 18:14:51.945553,Cartao,Não informado
92,Rafael,hipercalorico,integralmedica,200.74,1.0,2025-04-07 18:14:51.945560,Dinheiro,Filial A
93,Fernanda,bcaa,probiotica,226.14,1.0,32/13/2023,Não informado,Loja 2
94,Paulo,pre-treino,optimum nutrition,159.69,2.0,2025-06-09 18:14:51.945579,Cartao,Loja 1
95,João,multivitaminico,probiotica,209.99,3.0,2025-05-29 18:14:51.945592,Pix,Loja 2
96,Fernanda,creatina,growth supplements,205.21,1.0,2025-02-25 18:14:51.945604,Cartao,Loja 1
97,Paulo,barra proteica,probiotica,177.04,1.0,2025-01-17 18:14:51.945616,Cartão,Filial A
98,Paulo,multivitaminico,bodyaction,226.13,1.0,32/13/2023,Cartao,Loja 1
99,Diego,glutamina,max titanium,-246.8,2.0,2025-06-11 18:14:51.945633,Cartão,Loja 1
100,Gabriela,bcaa,growth supplements,142.64,1.0,2025-05-23 18:14:51.945640,Não informado,Não informado
101,Mariana,multivitaminico,black skull,243.71,2.0,2025-09-27 18:14:51.945647,Dinheiro,Não informado
102,Ana,glutamina,midway,190.16,2.0,2025-07-24 18:14:51.945654,Não informado,Loja 1
103,Diego,multivitaminico,growth supplements,158.7,2.0,2025-02-18 18:14:51.945660,Cartao,Loja 1
104,Carlos,creatina,atlhetica nutrition,235.57,2.0,2025-08-16 18:14:51.945667,Dinheiro,Não informado
105,Gabriela,omega 3,max titanium,-73.17,3.0,2025-07-23 18:14:51.945674,Cartao,Loja 1
107,Diego,pre-treino,bodyaction,221.57,2.0,2025-01-10 18:14:51.945688,Cartão,Loja 2
108,João,hipercalorico,probiotica,58.58,2.0,2024-10-21 18:14:51.945696,Pix,Não informado
109,Diego,barra proteica,integralmedica,131.31,2.0,2024-11-27 18:14:51.945703,Cartao,Loja 1
110,Bruna,barra proteica,max titanium,57.99,3.0,2025-04-27 18:14:51.945711,Não informado,Filial A
111,Camila,glutamina,optimum nutrition,189.05,2.0,2025-02-01 18:14:51.945719,Cartao,Filial A
112,Fernanda,omega 3,black skull,95.57,2.0,2024-12-14 18:14:51.945725,Pix,Loja 2
113,Rodrigo,albumina,black skull,172.61,3.0,2025-06-24 18:14:51.945732,Pix,Filial A
114,João,multivitaminico,black skull,216.08,2.0,2025-03-22 18:14:51.945740,Cartao,Filial A
115,Camila,barra proteica,black skull,212.62,2.0,2025-06-25 18:14:51.945746,Pix,Não informado
116,Diego,omega 3,midway,175.62,2.0,2025-03-15 18:14:51.945754,Dinheiro,Loja 2
117,Carlos,albumina,growth supplements,103.68,2.0,32/13/2023,Não informado,Loja 1
118,Ana,creatina,black skull,170.73,3.0,2025-05-31 18:14:51.945768,Não informado,Filial A
119,Juliana,pre-treino,universal,68.24,3.0,2025-01-24 18:14:51.945776,Dinheiro,Não informado
120,João,pre-treino,integralmedica,184.23,2.0,2025-02-13 18:14:51.945783,Cartão,Loja 1
121,Bruna,multivitaminico,universal,203.01,2.0,2025-01-04 18:14:51.945790,Cartão,Não informado
122,Fernanda,barra proteica,probiotica,189.79,2.0,2025-06-10 18:14:51.945797,Cartao,Filial A
123,João,glutamina,optimum nutrition,179.1,1.0,2025-03-14 18:14:51.945804,Pix,Não informado
124,Ana,multivitaminico,universal,123.32,2.0,2025-06-09 18:14:51.946125,Não informado,Loja 2
125,Rodrigo,whey protein,probiotica,189.06,2.0,2025-05-22 18:14:51.946146,Pix,Loja 2
126,Rodrigo,hipercalorico,probiotica,224.36,2.0,2025-05-05 18:14:51.946160,Cartao,Loja 2
127,João,whey protein,max titanium,85.75,3.0,2025-06-30 18:14:51.946230,Dinheiro,Loja 2
129,Lucas,glutamina,max titanium,58.45,3.0,2025-02-06 18:14:51.946260,Cartao,Não informado
130,Fernanda,omega 3,optimum nutrition,171.1,3.0,2025-01-04 18:14:51.946275,Dinheiro,Não informado
131,Mariana,whey protein,atlhetica nutrition,126.51,2.0,2025-01-23 18:14:51.946288,Cartão,Loja 2
132,Bruna,bcaa,integralmedica,53.28,2.0,2025-03-09 18:14:51.946303,Cartao,Filial A
133,Camila,pre-treino,growth supplements,70.26,2.0,2024-10-30 18:14:51.946316,Cartão,Filial A
134,Rafael,omega 3,optimum nutrition,-151.34,3.0,32/13/2023,Dinheiro,Filial A
135,Ana,multivitaminico,optimum nutrition,210.24,2.0,2025-02-20 18:14:51.946345,Cartão,Loja 1
136,Mariana,hipercalorico,black skull,173.37,1.0,32/13/2023,Dinheiro,Loja 2
137,Bruna,barra proteica,integralmedica,92.12,1.0,2025-05-17 18:14:51.946367,Cartão,Loja 2
138,Diego,bcaa,max titanium,195.58,3.0,2024-12-08 18:14:51.946375,Pix,Filial A
139,Fernanda,bcaa,midway,229.32,2.0,2025-01-25 18:14:51.946382,Não informado,Filial A
140,Diego,hipercalorico,black skull,206.7,2.0,2025-08-10 18:14:51.946393,Não informado,Filial A
141,Bruna,hipercalorico,max titanium,182.58,1.0,2025-02-18 18:14:51.946401,Cartao,Loja 2
142,Bruna,multivitaminico,atlhetica nutrition,148.37,2.0,2025-02-21 18:14:51.946408,Pix,Loja 2
143,Lucas,bcaa,midway,-209.24,2.0,2025-08-13 18:14:51.946416,Dinheiro,Loja 1
144,Ana,multivitaminico,atlhetica nutrition,183.21,3.0,2025-04-13 18:14:51.946424,Não informado,Loja 1
145,Ana,barra proteica,integralmedica,103.47,1.0,2024-11-20 18:14:51.946433,Cartão,Não informado
146,Lucas,glutamina,bodyaction,56.41,2.0,2025-02-10 18:14:51.946447,Não informado,Filial A
147,Patrícia,hipercalorico,black skull,-190.65,2.0,2025-07-31 18:14:51.946460,Cartao,Loja 2
148,Mariana,creatina,atlhetica nutrition,74.52,3.0,2024-10-01 18:14:51.946473,Cartao,Loja 1
149,Rafael,bcaa,growth supplements,87.31,2.0,2024-10-01 18:14:51.946486,Cartao,Loja 2
150,Rodrigo,albumina,atlhetica nutrition,86.79,3.0,2025-03-01 18:14:51.946500,Pix,Loja 2
151,Ana,bcaa,black skull,204.17,3.0,32/13/2023,Cartao,Loja 2
152,João,bcaa,bodyaction,168.1,1.0,2025-02-09 18:14:51.946532,Não informado,Filial A
153,Fernanda,multivitaminico,universal,215.91,2.0,2025-04-21 18:14:51.946543,Dinheiro,Não informado
154,Patrícia,glutamina,probiotica,50.86,2.0,2025-05-30 18:14:51.946551,Cartao,Loja 1
155,Carlos,glutamina,universal,203.36,1.0,2025-01-18 18:14:51.946558,Dinheiro,Filial A
156,Juliana,creatina,universal,90.05,2.0,2024-11-02 18:14:51.946566,Cartao,Loja 1
157,Carlos,bcaa,integralmedica,231.19,1.0,2025-05-05 18:14:51.946575,Não informado,Loja 1
158,Carlos,bcaa,growth supplements,201.69,2.0,2025-04-10 18:14:51.946583,Não informado,Não informado
159,Fernanda,creatina,max titanium,211.32,1.0,2024-11-16 18:14:51.946591,Cartão,Loja 1
160,Mariana,bcaa,bodyaction,120.28,2.0,2025-08-07 18:14:51.946599,Cartao,Loja 2
161,Mariana,pre-treino,midway,95.35,2.0,2024-12-18 18:14:51.946613,Cartao,Filial A
162,Gabriela,albumina,on,182.92,1.0,2025-04-21 18:14:51.946626,Cartão,Loja 2
163,Rodrigo,creatina,max titanium,160.32,1.0,2024-11-07 18:14:51.946639,Pix,Não informado
164,Patrícia,whey protein,black skull,213.14,2.0,2025-08-22 18:14:51.946653,Pix,Loja 1
165,Diego,glutamina,growth supplements,223.9,1.0,2025-03-28 18:14:51.946661,Pix,Filial A
166,Rafael,creatina,max titanium,160.04,3.0,2024-12-21 18:14:51.946670,Cartão,Não informado
167,Juliana,whey protein,max titanium,63.75,1.0,32/13/2023,Pix,Não informado
168,Fernanda,creatina,bodyaction,87.03,1.0,2024-11-11 18:14:51.946687,Cartao,Loja 2
169,Paulo,bcaa,bodyaction,225.01,2.0,2025-01-20 18:14:51.946700,Cartão,Não informado
170,João,barra proteica,bodyaction,132.31,1.0,2024-10-03 18:14:51.946712,Não informado,Não informado
171,Ana,creatina,black skull,166.04,1.0,2025-06-03 18:14:51.946720,Cartão,Loja 1
172,Gabriela,hipercalorico,max titanium,-215.99,2.0,2025-02-13 18:14:51.946728,Cartão,Filial A
173,Rafael,hipercalorico,black skull,91.36,2.0,2025-01-22 18:14:51.946740,Pix,Não informado
174,Ana,glutamina,growth supplements,154.86,3.0,2025-07-19 18:14:51.946753,Dinheiro,Não informado
175,Juliana,whey protein,max titanium,139.87,2.0,2025-03-14 18:14:51.946767,Cartao,Loja 2
176,Diego,bcaa,optimum nutrition,178.38,3.0,2025-01-05 18:14:51.946780,Cartão,Filial A
177,Rodrigo,omega 3,growth supplements,229.76,2.0,2024-11-12 18:14:51.946788,Não informado,Loja 1
178,Mariana,whey protein,bodyaction,87.47,2.0,2025-05-24 18:14:51.946795,Pix,Loja 2
179,Gabriela,hipercalorico,midway,89.25,2.0,2025-04-10 18:14:51.946803,Dinheiro,Filial A
180,Diego,pre-treino,max titanium,223.31,1.0,2025-08-08 18:14:51.946811,Não informado,Não informado
181,Paulo,bcaa,atlhetica nutrition,131.83,2.0,2025-06-14 18:14:51.946818,Dinheiro,Loja 1
182,Carlos,glutamina,probiotica,181.46,2.0,2025-01-22 18:14:51.946826,Dinheiro,Não informado
183,Camila,albumina,probiotica,119.79,2.0,2025-09-16 18:14:51.946834,Não informado,Loja 1
184,Gabriela,glutamina,probiotica,91.81,2.0,2025-06-06 18:14:51.946842,Cartão,Loja 1
185,Paulo,pre-treino,black skull,216.72,2.0,32/13/2023,Dinheiro,Não informado
186,Carlos,creatina,integralmedica,83.24,3.0,2025-02-10 18:14:51.946858,Não informado,Loja 2
187,Diego,hipercalorico,optimum nutrition,196.68,2.0,2025-03-06 18:14:51.946866,Não informado,Não informado
188,Camila,creatina,integralmedica,239.91,2.0,2025-09-02 18:14:51.946877,Não informado,Loja 2
189,Juliana,bcaa,midway,66.71,2.0,2025-05-19 18:14:51.946888,Dinheiro,Loja 2
190,Ana,hipercalorico,integralmedica,153.59,2.0,2024-11-09 18:14:51.946900,Pix,Não informado
191,Mariana,glutamina,growth supplements,188.18,1.0,2025-04-17 18:14:51.946912,Não informado,Loja 1
192,Carlos,pre-treino,optimum nutrition,207.49,2.0,2025-04-02 18:14:51.946920,Cartão,Filial A
193,Juliana,glutamina,integralmedica,148.23,2.0,2025-07-02 18:14:51.946927,Pix,Loja 1
194,Rafael,hipercalorico,on,102.26,3.0,2025-08-15 18:14:51.946947,Não informado,Filial A
195,Fernanda,bcaa,probiotica,248.13,2.0,2025-04-24 18:14:51.946954,Não informado,Não informado
196,Paulo,whey protein,optimum nutrition,221.21,1.0,2024-11-14 18:14:51.946965,Não informado,Loja 2
197,Mariana,creatina,max titanium,228.04,3.0,2024-11-13 18:14:51.946978,Dinheiro,Não informado
198,Diego,pre-treino,probiotica,80.97,3.0,2025-07-04 18:14:51.946991,Pix,Não informado
199,Patrícia,bcaa,integralmedica,92.77,1.0,2025-02-05 18:14:51.947005,Cartao,Filial A
200,Gabriela,hipercalorico,atlhetica nutrition,130.66,3.0,2024-12-25 18:14:51.947014,Pix,Loja 2
201,Rodrigo,whey protein,black skull,165.14,1.0,2025-06-06 18:14:51.947022,Pix,Loja 2
202,Fernanda,omega 3,black skull,216.35,1.0,2025-05-04 18:14:51.947030,Cartão,Filial A
203,João,pre-treino,atlhetica nutrition,226.7,2.0,2025-08-08 18:14:51.947038,Não informado,Não informado
204,Fernanda,multivitaminico,bodyaction,68.28,2.0,2025-03-06 18:14:51.947046,Dinheiro,Loja 1
205,Camila,hipercalorico,max titanium,201.68,2.0,2025-01-16 18:14:51.947058,Não informado,Loja 1
207,Gabriela,multivitaminico,midway,50.61,3.0,2024-11-21 18:14:51.947079,Dinheiro,Loja 1
208,Carlos,glutamina,bodyaction,108.45,3.0,2025-09-16 18:14:51.947091,Cartao,Loja 2
209,Mariana,bcaa,bodyaction,117.54,1.0,2024-10-08 18:14:51.947103,Pix,Loja 2
210,Fernanda,omega 3,atlhetica nutrition,148.48,1.0,2025-01-07 18:14:51.947111,Cartão,Loja 2
211,Bruna,whey protein,growth supplements,226.91,1.0,2025-03-16 18:14:51.947119,Cartao,Loja 1
212,Rafael,pre-treino,probiotica,135.96,1.0,2025-01-24 18:14:51.947127,Cartao,Não informado
213,Juliana,omega 3,probiotica,242.63,1.0,2025-01-02 18:14:51.947135,Dinheiro,Filial A
214,Patrícia,pre-treino,bodyaction,92.39,1.0,2025-09-02 18:14:51.947142,Pix,Não informado
215,Paulo,whey protein,atlhetica nutrition,107.87,2.0,2025-05-22 18:14:51.947153,Dinheiro,Não informado
216,Juliana,barra proteica,universal,206.1,2.0,2025-08-15 18:14:51.947166,Pix,Loja 2
217,Fernanda,albumina,midway,54.25,2.0,2025-07-02 18:14:51.947180,Cartão,Loja 2
218,Rodrigo,pre-treino,universal,131.56,2.0,2025-07-12 18:14:51.947193,Cartão,Não informado
219,Juliana,hipercalorico,optimum nutrition,248.94,3.0,2024-10-21 18:14:51.947205,Pix,Loja 2
220,Camila,omega 3,growth supplements,229.45,1.0,2025-07-19 18:14:51.947219,Não informado,Não informado
221,Rafael,whey protein,integralmedica,79.32,2.0,2024-12-22 18:14:51.947230,Cartao,Filial A
222,Bruna,creatina,bodyaction,187.13,3.0,2024-12-11 18:14:51.947242,Cartão,Filial A
223,Rodrigo,pre-treino,integralmedica,151.81,2.0,2025-09-14 18:14:51.947249,Dinheiro,Não informado
224,Juliana,pre-treino,bodyaction,62.52,2.0,2025-01-15 18:14:51.947257,Cartão,Loja 2
225,Rodrigo,barra proteica,growth supplements,172.41,1.0,2025-04-18 18:14:51.947266,Cartao,Loja 2
226,Rodrigo,omega 3,optimum nutrition,123.67,2.0,2025-02-16 18:14:51.947274,Pix,Não informado
227,Mariana,whey protein,integralmedica,76.01,2.0,2025-08-13 18:14:51.947281,Cartao,Não informado
228,Camila,hipercalorico,midway,102.71,3.0,2025-08-26 18:14:51.947288,Dinheiro,Loja 2
229,Diego,pre-treino,atlhetica nutrition,233.16,1.0,32/13/2023,Dinheiro,Loja 1
230,Carlos,barra proteica,probiotica,183.93,3.0,2025-03-21 18:14:51.947313,Dinheiro,Não informado
231,Carlos,omega 3,growth supplements,59.56,1.0,2025-08-12 18:14:51.947325,Pix,Loja 1
232,João,multivitaminico,max titanium,231.01,2.0,2025-06-26 18:14:51.947338,Dinheiro,Loja 1
233,Camila,multivitaminico,integralmedica,244.74,2.0,2024-10-13 18:14:51.947356,Dinheiro,Não informado
234,Rodrigo,pre-treino,max titanium,-113.69,2.0,2025-09-18 18:14:51.947366,Não informado,Não informado
235,Bruna,creatina,universal,153.66,1.0,2025-03-27 18:14:51.947377,Cartao,Loja 2
236,Carlos,bcaa,atlhetica nutrition,224.69,2.0,2025-08-07 18:14:51.947389,Cartao,Loja 2
237,Paulo,creatina,integralmedica,129.59,1.0,2024-12-18 18:14:51.947401,Pix,Loja 2
238,Bruna,barra proteica,bodyaction,233.72,2.0,2024-10-25 18:14:51.947409,Cartao,Filial A
239,Fernanda,glutamina,midway,175.9,2.0,2024-11-13 18:14:51.947418,Cartao,Loja 1
240,Paulo,multivitaminico,probiotica,89.2,1.0,2024-11-18 18:14:51.947426,Cartao,Loja 1
241,Lucas,creatina,optimum nutrition,79.98,2.0,2025-07-13 18:14:51.947434,Dinheiro,Filial A
242,Fernanda,barra proteica,growth supplements,50.13,2.0,2025-03-25 18:14:51.947442,Pix,Loja 1
243,Gabriela,albumina,midway,184.6,2.0,2025-04-07 18:14:51.947449,Pix,Filial A
244,Mariana,omega 3,probiotica,87.14,3.0,2025-03-13 18:14:51.947457,Dinheiro,Loja 2
245,Fernanda,barra proteica,integralmedica,87.32,2.0,2025-06-30 18:14:51.947465,Pix,Não informado
246,Mariana,barra proteica,probiotica,206.34,1.0,2024-12-17 18:14:51.947472,Pix,Filial A
247,Ana,multivitaminico,bodyaction,204.6,1.0,2025-06-22 18:14:51.947480,Não informado,Loja 1
248,Camila,omega 3,max titanium,89.83,2.0,2025-05-15 18:14:51.947488,Cartão,Filial A
249,João,hipercalorico,optimum nutrition,93.32,2.0,2025-02-27 18:14:51.947495,Não informado,Loja 1
250,João,hipercalorico,growth supplements,189.43,1.0,2025-09-11 18:14:51.947503,Dinheiro,Não informado
251,Bruna,barra proteica,midway,216.98,2.0,2025-03-29 18:14:51.947510,Não informado,Filial A
252,Bruna,bcaa,bodyaction,61.67,2.0,2025-02-11 18:14:51.947518,Pix,Filial A
253,Rodrigo,bcaa,bodyaction,158.27,3.0,2025-04-20 18:14:51.947526,Não informado,Filial A
254,Mariana,omega 3,max titanium,116.46,1.0,2025-09-08 18:14:51.947534,Pix,Filial A
255,Gabriela,pre-treino,max titanium,226.62,3.0,2025-08-25 18:14:51.947541,Pix,Filial A
256,Diego,whey protein,universal,110.65,2.0,2025-03-16 18:14:51.947549,Cartao,Loja 2
257,Diego,pre-treino,optimum nutrition,199.38,2.0,2025-03-25 18:14:51.947557,Cartão,Loja 2
258,Juliana,bcaa,max titanium,90.04,1.0,2024-11-13 18:14:51.947565,Cartão,Loja 1
259,Bruna,whey protein,universal,-142.64,2.0,2025-03-07 18:14:51.947575,Cartão,Não informado
260,Mariana,bcaa,atlhetica nutrition,103.13,1.0,2025-04-16 18:14:51.947582,Cartão,Não informado
261,Bruna,omega 3,growth supplements,74.19,2.0,2024-10-13 18:14:51.947591,Cartao,Loja 2
262,Camila,barra proteica,growth supplements,163.37,2.0,2025-08-09 18:14:51.947601,Pix,Loja 1
263,Gabriela,glutamina,probiotica,242.83,2.0,2025-04-19 18:14:51.947608,Pix,Filial A
264,Bruna,creatina,optimum nutrition,238.38,3.0,2024-12-08 18:14:51.947617,Cartao,Loja 1
265,Mariana,multivitaminico,midway,63.98,2.0,2025-01-03 18:14:51.947626,Cartão,Loja 2
266,Diego,albumina,bodyaction,200.55,2.0,2025-09-02 18:14:51.947634,Dinheiro,Loja 1
267,Camila,whey protein,midway,150.69,2.0,2024-10-10 18:14:51.947642,Pix,Filial A
268,Mariana,pre-treino,growth supplements,-212.72,2.0,2025-04-28 18:14:51.947650,Cartao,Loja 1
269,Rodrigo,barra proteica,max titanium,240.82,1.0,2025-09-18 18:14:51.947658,Não informado,Loja 2
270,Juliana,barra proteica,max titanium,196.98,2.0,2025-09-27 18:14:51.947666,Cartao,Loja 1
271,João,barra proteica,max titanium,80.36,2.0,2025-03-04 18:14:51.947676,Dinheiro,Loja 1
272,Carlos,barra proteica,max titanium,86.14,2.0,2025-07-22 18:14:51.947688,Não informado,Não informado
273,Camila,pre-treino,probiotica,117.46,2.0,2024-10-31 18:14:51.947703,Pix,Loja 1
274,Mariana,glutamina,growth supplements,78.12,2.0,2024-10-24 18:14:51.947716,Dinheiro,Loja 2
277,Rodrigo,whey protein,integralmedica,134.49,2.0,2024-12-18 18:14:51.947741,Cartão,Loja 2
